time,pitch,yaw,roll
0,0.433229,0,0
1,0.13919,0,0
2,-0.325353,0,0
3,-1.04726,0,0
4,-2.06101,0,0
5,-3.31241,0,0
6,-4.51446,0,0
7,-5.62502,0,0
8,-6.61626,0,0
9,-7.38204,0,0
10,-7.82646,0,0
11,-7.89089,0,0
12,-7.56446,0,0
13,-6.90419,0,0
14,-6.0423,0,0
15,-5.11567,0,0
16,-4.21359,0,0
17,-3.38762,0,0
18,-2.68821,0,0
19,-2.17249,0,0
20,-1.86956,0,0
21,-1.78487,0,0
22,-1.92871,0,0
23,-2.32471,0,0
24,-2.95634,0,0
25,-3.70125,0,0
26,-4.53935,0,0
27,-5.34115,0,0
28,-5.99518,0,0
29,-6.43987,0,0
30,-6.66084,0,0
31,-6.66597,0,0
32,-6.45669,0,0
33,-6.03981,0,0
34,-5.4533,0,0
35,-4.7581,0,0
36,-4.01211,0,0
37,-3.26885,0,0
38,-2.57238,0,0
39,-1.94734,0,0
40,-1.40795,0,0
41,-0.961246,0,0
42,-0.597285,0,0
