time,pitch,yaw,roll
0,0.309856,0,0
1,0.326523,0,0
2,0.00817935,0,0
3,-0.585589,0,0
4,-1.65455,0,0
5,-3.25942,0,0
6,-4.89169,0,0
7,-6.50853,0,0
8,-7.952,0,0
9,-9.01532,0,0
10,-9.75699,0,0
11,-10.1713,0,0
12,-10.3107,0,0
13,-10.1352,0,0
14,-9.63739,0,0
15,-8.81598,0,0
16,-7.69703,0,0
17,-6.33696,0,0
18,-4.82051,0,0
19,-3.34423,0,0
20,-2.13668,0,0
21,-1.22862,0,0
22,-0.575447,0,0
23,-0.122621,0,0
24,0.185234,0,0
25,0.397448,0,0
26,0.540278,0,0
27,0.637697,0,0
28,0.70548,0,0
29,0.739662,0,0
30,0.778996,0,0
31,0.795662,0,0
32,0.772244,0,0
33,0.502719,0,0
34,-0.0288023,0,0
35,-0.950689,0,0
36,-1.8482,0,0
37,-2.85302,0,0
38,-3.85151,0,0
39,-4.73723,0,0
40,-5.45205,0,0
41,-5.97033,0,0
42,-6.29274,0,0
43,-6.4686,0,0
44,-6.45738,0,0
45,-6.11598,0,0
46,-5.46747,0,0
47,-4.64706,0,0
48,-3.74581,0,0
49,-2.80628,0,0
50,-1.91676,0,0
51,-1.12071,0,0
52,-0.521506,0,0
53,-0.0974596,0,0
54,0.191655,0,0
55,0.379392,0,0
56,0.498649,0,0
57,0.568321,0,0
58,0.610789,0,0
59,0.622537,0,0
60,0.628689,0,0
