time,pitch,yaw,roll
0,0.889468,0,0
1,0.872802,0,0
2,0.856135,0,0
3,0.839468,0,0
4,0.822802,0,0
5,0.934584,0,0
6,1.31507,0,0
7,1.95369,0,0
8,3.03877,0,0
9,4.18798,0,0
10,5.13734,0,0
11,5.77657,0,0
12,5.81453,0,0
13,5.32042,0,0
14,4.40292,0,0
15,3.43327,0,0
16,2.6133,0,0
17,1.97135,0,0
18,1.5199,0,0
19,1.20089,0,0
20,0.97947,0,0
21,0.800183,0,0
22,0.551364,0,0
23,-0.134328,0,0
24,-1.27658,0,0
25,-2.45385,0,0
26,-3.70411,0,0
27,-5.09651,0,0
28,-6.48579,0,0
29,-7.4903,0,0
30,-8.15551,0,0
31,-8.49317,0,0
32,-8.47886,0,0
33,-8.26619,0,0
34,-7.88363,0,0
35,-7.33873,0,0
36,-6.55317,0,0
37,-5.57056,0,0
38,-4.44684,0,0
39,-3.52775,0,0
40,-2.60792,0,0
41,-1.80532,0,0
42,-1.17251,0,0
43,-0.730783,0,0
44,-0.425199,0,0
45,-0.225171,0,0
46,-0.0958609,0,0
47,-0.01811,0,0
48,0.0279945,0,0
